"year","state","homes_sold","prev_year_sold","sold_yoy_percent","rank"
2021,"Idaho",74377,"79953","-6.974097282153265","1"
2021,"Utah",102084,"107829","-5.327880254847954","2"
2021,"Montana",33165,"34595","-4.133545310015898","3"
2021,"New Hampshire",48176,"49163","-2.007607346988589","4"
2021,"Wyoming",18034,"17875","0.8895104895104896","5"
2022,"Nevada",96063,"129664","-25.91390054294176","1"
2022,"California",673011,"886079","-24.04616292678192","2"
2022,"Montana",25334,"33165","-23.612241821197046","3"
2022,"Idaho",57422,"74377","-22.796025653091682","4"
2022,"Washington",214926,"276143","-22.168586565656202","5"
2023,"New Mexico",19147,"30113","-36.416165775578655","1"
2023,"Hawaii",23370,"31936","-26.822394789579157","2"
2023,"Alaska",14222,"19127","-25.64437705860825","3"
2023,"Oregon",89341,"118948","-24.89070854491038","4"
2023,"Washington",164188,"214926","-23.60719503457004","5"
2024,"Columbia",13048,"14050","-7.131672597864769","1"
2024,"Florida",733932,"765015","-4.063057587106135","2"
2024,"Louisiana",80237,"81852","-1.9730733519034354","3"
2024,"Connecticut",74030,"75462","-1.8976438472343697","4"
2024,"Georgia",249794,"253981","-1.6485485134714803","5"
