year,state,homes_sold,prev_year_sold,sold_yoy_percent
2020,Pennsylvania,306921,,
2020,Utah,107829,,
2020,Nebraska,50092,,
2020,Montana,34595,,
2020,Delaware,20742,,
2020,Kansas,78544,,
2020,Missouri,194672,,
2020,North Carolina,363646,,
2020,Idaho,79953,,
2020,North Dakota,10030,,
2020,Hawaii,29240,,
2020,Oklahoma,107145,,
2020,Colorado,214847,,
2020,Maine,46260,,
2020,California,770536,,
2020,New Hampshire,49163,,
2020,Tennessee,222736,,
2020,South Dakota,22420,,
2020,Indiana,200546,,
2020,Washington,250130,,
2020,Iowa,89954,,
2020,Wyoming,17875,,
2020,West Virginia,24308,,
2020,Georgia,340659,,
2020,Columbia,19612,,
2020,Connecticut,112431,,
2020,Arkansas,87793,,
2020,Florida,923774,,
2020,South Carolina,172395,,
2020,New Jersey,258301,,
2020,Alabama,146499,,
2020,Ohio,317172,,
2020,Wisconsin,172094,,
2020,Alaska,19146,,
2020,Kentucky,112719,,
2020,Oregon,137119,,
2020,Mississippi,46079,,
2020,Maryland,186757,,
2020,Louisiana,97070,,
2020,Rhode Island,31756,,
2020,Texas,755139,,
2020,Illinois,343220,,
2020,Virginia,292962,,
2020,Michigan,290901,,
2020,Vermont,21202,,
2020,Nevada,109584,,
2020,New York,294080,,
2020,Minnesota,176425,,
2020,New Mexico,22270,,
2020,Arizona,279434,,
2020,Massachusetts,171825,,
2021,Iowa,95520,89954.0,6.18760699913289
2021,Louisiana,115630,97070.0,19.12022251983105
2021,Missouri,210114,194672.0,7.9323169228240324
2021,Utah,102084,107829.0,-5.327880254847954
2021,Washington,276143,250130.0,10.399792108103787
2021,Montana,33165,34595.0,-4.133545310015898
2021,Alabama,162918,146499.0,11.207585034710135
2021,Colorado,223682,214847.0,4.112228702285813
2021,Indiana,209032,200546.0,4.231448146559892
2021,New Hampshire,48176,49163.0,-2.007607346988589
2021,Hawaii,40193,29240.0,37.458960328317374
2021,Nebraska,50912,50092.0,1.6369879421863769
2021,Idaho,74377,79953.0,-6.974097282153265
2021,Delaware,23913,20742.0,15.287821810818627
2021,Oklahoma,120120,107145.0,12.109757804843904
2021,Wisconsin,176934,172094.0,2.8124164700686833
2021,Maryland,208281,186757.0,11.525136942658106
2021,South Carolina,194480,172395.0,12.810696365903883
2021,North Carolina,402213,363646.0,10.605643950435313
2021,Texas,810328,755139.0,7.308455794231261
2021,South Dakota,22748,22420.0,1.462979482604817
2021,Columbia,22050,19612.0,12.431164593106262
2021,Massachusetts,182993,171825.0,6.499636257820457
2021,New Mexico,25838,22270.0,16.021553659631792
2021,New Jersey,275422,258301.0,6.628313479235466
2021,Alaska,22172,19146.0,15.80486785751593
2021,Illinois,397742,343220.0,15.885437911543615
2021,Tennessee,237764,222736.0,6.74700093384096
2021,Pennsylvania,339238,306921.0,10.52941962263905
2021,Oregon,147828,137119.0,7.810004448690553
