year,state,homes_sold,population
2021,New Mexico,1001,"2,117,333 "
2020,Louisiana,3537,"4,652,301 "
2020,Montana,1936,"1,087,230 "
2024,North Dakota,14,"796,568 "
2020,North Dakota,487,"779,563 "
2023,Minnesota,256,"5,753,048 "
2022,Virginia,1059,"8,683,414 "
2024,New Mexico,12,"2,130,256 "
2022,Iowa,4248,"3,202,820 "
2023,Mississippi,66,"2,943,172 "
2023,Tennessee,7909,"7,148,304 "
2023,Georgia,1134,"11,064,432 "
2024,Connecticut,1872,"3,675,069 "
2024,Utah,2349,"3,503,613 "
2022,Utah,57,"3,391,011 "
2023,Ohio,28,"11,824,034 "
2021,Maine,1277,"1,378,931 "
2023,Maine,1424,"1,399,646 "
2024,West Virginia,3,"1,769,979 "
2020,Ohio,10738,"11,798,905 "
2024,Georgia,382,"11,180,878 "
2020,Wisconsin,5865,"5,897,375 "
2023,Utah,3405,"3,443,222 "
2022,Mississippi,39,"2,941,939 "
2024,Louisiana,49,"4,597,740 "
2023,New Mexico,29,"2,121,164 "
2022,North Dakota,31,"781,057 "
2024,New Jersey,6184,"9,500,851 "
2023,California,19773,"39,198,693 "
2021,Iowa,531,"3,198,613 "
2020,New Jersey,682,"9,272,794 "
2024,Kansas,78,"2,970,606 "
2021,Alabama,25,"5,049,196 "
2022,New Mexico,1024,"2,113,868 "
2023,Hawaii,1074,"1,441,387 "
2023,Rhode Island,141,"1,103,429 "
2022,West Virginia,1136,"1,774,122 "
2021,Mississippi,2,"2,947,209 "
2022,West Virginia,791,"1,774,122 "
2023,Virginia,7384,"8,734,685 "
2022,North Carolina,788,"10,710,793 "
2022,South Carolina,24,"5,287,935 "
2021,Florida,8780,"21,831,949 "
2020,New Jersey,922,"9,272,794 "
2021,Nebraska,2273,"1,964,537 "
2024,Connecticut,189,"3,675,069 "
2023,Connecticut,244,"3,643,023 "
2021,New Mexico,31,"2,117,333 "
2022,Alaska,39,"734,442 "
2023,Florida,22608,"22,904,868 "
2024,Florida,451,"23,372,215 "
2024,Ohio,11125,"11,883,304 "
2023,Columbia,193,"687,324 "
2020,Tennessee,431,"6,927,904 "
2022,Michigan,246,"10,050,877 "
2023,Maryland,1832,"6,217,062 "
2022,New Hampshire,950,"1,396,678 "
2024,Tennessee,49,"7,227,750 "
2024,North Dakota,8,"796,568 "
2024,Massachusetts,488,"7,136,171 "
2023,New Hampshire,168,"1,402,199 "
2024,California,554,"39,431,263 "
2024,Indiana,5999,"6,924,275 "
2020,West Virginia,3,"1,791,646 "
2020,New Hampshire,2669,"1,378,756 "
2020,Hawaii,1299,"1,451,252 "
2023,Maine,1034,"1,399,646 "
2022,Texas,31776,"30,113,488 "
2024,Colorado,57,"5,957,493 "
2020,North Dakota,17,"779,563 "
2024,Virginia,784,"8,811,195 "
2020,Columbia,427,"670,917 "
2021,North Carolina,947,"10,564,320 "
2022,Arkansas,71,"3,047,704 "
2020,Michigan,1449,"10,072,703 "
2022,Arkansas,56,"3,047,704 "
2023,Tennessee,5705,"7,148,304 "
2023,Georgia,11026,"11,064,432 "
2024,Rhode Island,144,"1,112,308 "
2024,Louisiana,80,"4,597,740 "
2023,Rhode Island,680,"1,103,429 "
2020,Utah,3338,"3,284,077 "
2024,South Carolina,7303,"5,478,831 "
2020,Texas,252,"29,239,570 "
2020,Idaho,4158,"1,849,415 "
2022,Texas,22615,"30,113,488 "
2021,Kansas,54,"2,938,338 "
2023,Oregon,2890,"4,253,653 "
2022,Indiana,247,"6,844,545 "
2023,South Dakota,698,"918,305 "
2023,Ohio,10742,"11,824,034 "
2023,Kentucky,32,"4,550,595 "
2023,Colorado,818,"5,901,339 "
2022,Vermont,724,"648,142 "
2022,Idaho,61,"1,944,299 "
2021,Louisiana,4459,"4,627,971 "
2021,New York,2565,"19,848,276 "
2020,Massachusetts,8987,"6,994,598 "
2024,Georgia,1068,"11,180,878 "
2021,Minnesota,808,"5,718,660 "
2022,Idaho,85,"1,944,299 "
2020,Kansas,41,"2,938,172 "
2023,New Jersey,676,"9,379,642 "
2022,Nebraska,30,"1,972,246 "
2024,Missouri,7344,"6,245,466 "
2020,Ohio,1101,"11,798,905 "
2023,New York,12591,"19,737,367 "
2022,Alabama,139,"5,076,181 "
2022,Alaska,54,"734,442 "
2023,California,21814,"39,198,693 "
2022,Oklahoma,61,"4,026,229 "
2021,Illinois,10215,"12,700,641 "
2022,Missouri,645,"6,179,414 "
2020,Florida,30520,"21,592,035 "
2021,Montana,1449,"1,106,522 "
2021,Alaska,135,"734,420 "
2021,Washington,185,"7,743,760 "
2024,West Virginia,160,"1,769,979 "
2021,Maine,126,"1,378,931 "
2022,North Dakota,392,"781,057 "
2024,Minnesota,86,"5,793,151 "
2021,North Dakota,210,"777,966 "
2020,Washington,649,"7,727,209 "
2022,Pennsylvania,10447,"12,984,990 "
2020,Oklahoma,28,"3,965,415 "
2020,Vermont,1334,"642,977 "
2021,Nebraska,1388,"1,964,537 "
2020,California,510,"39,521,958 "
2021,New Hampshire,1197,"1,387,677 "
2023,Virginia,6427,"8,734,685 "
2024,California,20962,"39,431,263 "
2024,West Virginia,1098,"1,769,979 "
2022,New Mexico,1179,"2,113,868 "
2020,Kansas,36,"2,938,172 "
2020,Maine,233,"1,364,571 "
2020,Georgia,794,"10,732,888 "
2020,New York,9698,"20,105,171 "
2020,Texas,513,"29,239,570 "
2021,California,1235,"39,142,565 "
2023,South Dakota,6,"918,305 "
2022,Florida,42829,"22,379,312 "
2022,Delaware,26,"1,020,625 "
2023,Michigan,1450,"10,083,356 "
2022,Washington,9406,"7,794,123 "
2021,Utah,459,"3,339,738 "
2021,South Carolina,829,"5,194,274 "
2024,Iowa,3113,"3,241,488 "
2020,Alaska,1045,"733,017 "
2022,Indiana,6026,"6,844,545 "
2024,Connecticut,2747,"3,675,069 "
2024,Connecticut,633,"3,675,069 "
2023,Wyoming,351,"585,067 "
2022,Wisconsin,5281,"5,903,975 "
2022,Georgia,776,"10,931,805 "
2020,Kentucky,5233,"4,508,318 "
2022,Ohio,427,"11,777,874 "
2022,Georgia,922,"10,931,805 "
2023,Illinois,13461,"12,642,259 "
2021,Montana,74,"1,106,522 "
2024,North Dakota,6,"796,568 "
2022,Kansas,3100,"2,937,324 "
2023,South Dakota,8,"918,305 "
2022,Washington,507,"7,794,123 "
2024,Georgia,860,"11,180,878 "
2021,Nevada,54,"3,148,141 "
2023,Florida,418,"22,904,868 "
2020,Wyoming,1,"577,681 "
2021,South Dakota,1104,"896,492 "
2020,Alaska,106,"733,017 "
2023,Nebraska,18,"1,987,864 "
2024,Illinois,11278,"12,710,158 "
2020,Kentucky,3489,"4,508,318 "
2020,Nebraska,24,"1,963,387 "
2022,Washington,710,"7,794,123 "
2022,North Dakota,229,"781,057 "
2022,Michigan,12950,"10,050,877 "
2021,Massachusetts,8589,"7,000,474 "
2021,Columbia,24,"669,256 "
2023,Oregon,212,"4,253,653 "
2023,Michigan,181,"10,083,356 "
2020,Colorado,61,"5,787,129 "
2023,Alabama,255,"5,117,673 "
2023,Maryland,4856,"6,217,062 "
2024,Utah,3287,"3,503,613 "
2020,Maryland,1824,"6,177,935 "
2023,Arizona,54,"7,473,027 "
2023,Missouri,7698,"6,208,038 "
2020,Indiana,231,"6,790,497 "
2023,North Dakota,386,"789,047 "
2023,Texas,22286,"30,727,890 "
2021,Maryland,36,"6,179,403 "
2023,Minnesota,4749,"5,753,048 "
2021,West Virginia,1352,"1,785,618 "
2021,Colorado,4726,"5,814,036 "
2020,New Jersey,13940,"9,272,794 "
2020,Washington,9093,"7,727,209 "
2021,Delaware,49,"1,005,062 "
2020,New Jersey,611,"9,272,794 "
2024,Oregon,291,"4,272,371 "
2021,Missouri,6968,"6,171,374 "
2020,South Carolina,28,"5,132,249 "
2020,Wisconsin,5713,"5,897,375 "
2021,Kentucky,5251,"4,507,583 "
2022,Montana,56,"1,122,095 "
2020,Georgia,13877,"10,732,888 "
2023,Montana,416,"1,131,302 "
2022,Louisiana,139,"4,593,687 "
2022,California,1609,"39,142,414 "
2020,Delaware,703,"991,928 "
2024,Illinois,13744,"12,710,158 "
2022,Montana,78,"1,122,095 "
2020,Kansas,23,"2,938,172 "
2022,Texas,252,"30,113,488 "
2024,North Dakota,236,"796,568 "
2021,Indiana,9444,"6,815,907 "
2023,Wyoming,461,"585,067 "
2024,Illinois,2451,"12,710,158 "
2020,Colorado,4392,"5,787,129 "
2023,Georgia,10156,"11,064,432 "
2020,Columbia,127,"670,917 "
2023,New Mexico,43,"2,121,164 "
2024,Pennsylvania,7740,"13,078,751 "
2022,Kansas,2139,"2,937,324 "
2022,Georgia,10768,"10,931,805 "
2024,South Dakota,10,"924,669 "
2021,Nevada,4245,"3,148,141 "
2021,South Carolina,31,"5,194,274 "
2023,Vermont,70,"648,708 "
2021,Idaho,105,"1,904,848 "
2020,Illinois,11194,"12,799,088 "
2020,California,3769,"39,521,958 "
2022,Florida,2445,"22,379,312 "
2023,Alabama,288,"5,117,673 "
2024,Tennessee,4440,"7,227,750 "
2024,New Jersey,916,"9,500,851 "
2022,North Carolina,9849,"10,710,793 "
2023,Arizona,6341,"7,473,027 "
2021,Missouri,9892,"6,171,374 "
2021,Ohio,14666,"11,767,344 "
2022,Mississippi,2152,"2,941,939 "
2023,New Hampshire,711,"1,402,199 "
2021,New York,1260,"19,848,276 "
2022,Oklahoma,80,"4,026,229 "
2023,Florida,280,"22,904,868 "
2021,Georgia,14992,"10,792,060 "
2021,North Dakota,19,"777,966 "
2020,Ohio,1042,"11,798,905 "
