"year","state","homes_sold","prev_year_sold","sold_yoy_percent","rank"
2021,"Hawaii",40193,"29240","37.458960328317374","1"
2021,"New York",364951,"294080","24.0992247007617","2"
2021,"Louisiana",115630,"97070","19.12022251983105","3"
2021,"Nevada",129664,"109584","18.32384289677325","4"
2021,"Florida",1081708,"923774","17.09660587979311","5"
2022,"New Mexico",30113,"25838","16.545398250638595","1"
2022,"Oklahoma",109656,"120120","-8.711288711288711","2"
2022,"Mississippi",44940,"49453","-9.12583665298364","3"
2022,"West Virginia",23699,"26213","-9.590661122343876","4"
2022,"Indiana",186949,"209032","-10.5644111906311","5"
2023,"Idaho",52545,"57422","-8.493260422834453","1"
2023,"Texas",640122,"720028","-11.097623981289617","2"
2023,"Nebraska",40016,"45094","-11.260921630372112","3"
2023,"Kansas",62780,"71304","-11.95444855828565","4"
2023,"West Virginia",20797,"23699","-12.245242415291784","5"
2024,"West Virginia",23115,"20797","11.145838342068567","1"
2024,"Utah",75104,"69118","8.66055152058798","2"
2024,"North Dakota",8676,"8147","6.4931876764453165","3"
2024,"Washington",174271,"164188","6.141130898725851","4"
2024,"Wyoming",12554,"11859","5.860527869128932","5"
